"year","price"
"May
2017","292.116"
"May
2017","269.391"
"May
2017","292.573"
"May
2017","291.753"
"May
2017","291.228"
"Jun
2017","291.447"
"Jun
2017","209.56"
"Jun
2017","309.175"
"Jun
2017","375.52"
"Jul
2017","317.278"
"Jul
2017","310.247"
"Jul
2017","385.6"
"Jul
2017","328.374"
"Aug
2017","254.85"
"Aug
2017","291.447"
"Aug
2017","372.41"
"Aug
2017","278.79"
"Aug
2017","338.512"
"Sep
2017","215.6"
"Sep
2017","327.04"
"Sep
2017","275.15"
"Sep
2017","266.534"
"Oct
2017","344.675"
"Oct
2017","257.61"
"Oct
2017","257.313"
"Oct
2017","329.6"
"Nov
2017","315.613"
"Nov
2017","302.864"
"Nov
2017","252.612"
"Nov
2017","284.38"
"Dec
2017","180.38"
"Dec
2017","180.38"
"Dec
2017","187.87"
"Dec
2017","301.208"
"Dec
2017","399.299"
"Jan
2018","282.676"
"Jan
2018","270.281"
"Jan
2018","178.73"
"Jan
2018","318.919"
"Feb
2018","392.391"
"Feb
2018","246.62"
"Feb
2018","232.201"
"Mar
2018","327.429"
"Mar
2018","296.061"
"Mar
2018","226.76"
"Apr
2018","295.69"
"Apr
2018","155.6"
"Apr
2018","265.43"
